Most Serious Crime Committed by Incarcerated Individual,Count
ATT ASLT POLICE/FIRE/EMT,4
ATT CHILD PORNOGRAPHY,4
ATT SEX CONDUCT CHILD 2ND,4
BAIL JUMPING 1ST,4
ATT MANSLAUGHTER 2ND,4
ATT AGG.CRIM.CONTEMPT,4
ATT MENACING POL OFFICER,4
ATT POS FORGE 1ST,4
YO RAPE,4
INTIMIDATE WIT 3RD,4
MONEY LAUNDERING 2,3
COERCION 1ST,3
LEAVE ACCIDENT SCENE,3
ENDANG INCOMPETENT 1ST,3
BRIBING WITNESS,3
CRIM FACIL 2ND,3
YO ASSAULT,3
PROMO PROSTI 1ST,3
ATT MANFCTURE METH-3RD,3
ATT STOLN PROP 3RD,3
DIS INDEC MAT MIN 2ND,3
ESCAPE 2ND,3
UNLAWFUL SURV 2ND (1),3
ATT SEX TRAFFICKING,3
YO MANSLAUGHTER,3
ATT GR LAR 3RD AUTO,3
ATT KIDNAPPING 1ST,3
FALSE INSTRUMENT,3
PERJURY 1ST,3
ATT CR SALE FIREARM 2ND,2
MENACING 2ND,2
MENACING,2
ATT JO-MURDER 2ND,2
BRIBERY 3RD,2
FALSLY REPRT INCIDNT-2ND,2
YO GRND LARCENY,2
ATT PRED SEX ASLT/CHILD,2
AG SEX ABUSE 3RD,2
HINDER PROSEC 2ND,2
DEFRAUD 1ST,2
AUTO STRIPPING 1ST,2
CONSPIRACY 3RD,2
ATT CR MISCHIEF2ND,2
INCEST 1ST DEGREE,2
MONEY LAUNDERING 1,2
ATT YO-JO,2
ATT FORGERY 2ND,2
ATT PRO PROST 2ND,2
ATT ESCAPE 1ST,2
YO ATT DANG WEAPONS,2
JO-MANSLAUGHTER 1ST,2
AGG SEX ABUSE 4TH 2007,2
JO-CRIM SEX ACT 1ST,2
UNAU USE VEHIC 1ST,2
RIOT 1ST,2
YO ATT CRIM SEX ACT/ABUSE,2
INCEST 3RD DEGREE,2
"ATT SEX TRAFFIC CHILD,SUB A",2
AGGR MANSLAUGT 2ND,2
ATT CSCS 2ND,2
