County of Indictment,Mean Age,Median Age,Min Age,Max Age,Female,Male,Asian,Non-Hispanic Black,Hispanic,Native American,Non-Hispanic White,Other,Gender Ratio (Male to Female),Race Ratio (Non-white to White)
STEUBEN,40.072649572649574,37.0,20.0,74.0,21.0,213.0,1.0,31.0,11.0,4.0,6.0,181.0,,
SUFFOLK,40.863896848137536,39.0,18.0,83.0,39.0,1357.0,7.0,578.0,435.0,17.0,29.0,330.0,,
SULLIVAN,40.67829457364341,38.5,19.0,83.0,16.0,242.0,2.0,92.0,47.0,5.0,3.0,109.0,,
TIOGA,40.67142857142857,40.5,21.0,74.0,5.0,65.0,0.0,17.0,6.0,1.0,2.0,44.0,,
TOMPKINS,38.693069306930695,38.0,18.0,69.0,3.0,98.0,0.0,37.0,4.0,2.0,3.0,55.0,,
ULSTER,39.591331269349844,37.0,20.0,70.0,9.0,314.0,0.0,117.0,70.0,2.0,8.0,126.0,,
UNKNOWN,37.48571428571429,37.0,19.0,65.0,1.0,69.0,0.0,3.0,1.0,0.0,57.0,9.0,,
WARREN,41.47802197802198,39.0,21.0,79.0,14.0,168.0,1.0,28.0,14.0,3.0,2.0,134.0,,
WASHINGTON,38.87362637362637,37.0,20.0,76.0,25.0,157.0,1.0,25.0,14.0,1.0,4.0,137.0,,
WAYNE,40.21008403361345,38.0,19.0,72.0,6.0,113.0,0.0,38.0,9.0,2.0,2.0,68.0,,
WESTCHESTER,40.807200929152145,39.0,18.0,84.0,38.0,823.0,2.0,489.0,270.0,5.0,16.0,79.0,,
WYOMING,38.03333333333333,36.0,19.0,76.0,9.0,81.0,0.0,11.0,6.0,1.0,0.0,72.0,,
YATES,38.81132075471698,37.0,22.0,68.0,7.0,46.0,0.0,5.0,5.0,1.0,0.0,42.0,,
0,,,,,,,,,,,,,24.614077669902912,3.3922031076581574
