Crime Group,Count,Percentage
Other,12723,40.187624372216426
Murder,5974,18.869831643450517
Robbery,3291,10.395148299061878
Burglary,2870,9.065352664329259
Assault,2747,8.67683755014372
Weapon Offense,2232,7.05012792570833
Rape,1422,4.4916137591206295
Sexual Abuse,302,0.9539151584067722
Drug Offense,74,0.2337408004043084
Theft,24,0.07580782715815408
