Most Serious Crime Committed by Incarcerated Individual,Count
MURDER 2ND,94708
ROBBERY 1ST,47640
MANSLAUGHTER 1ST,33931
C POS WEAPON 2ND,31794
CSCS 3RD,29490
BURGLARY 2ND,27556
BURGLARY 3RD,23405
CPCS 3RD,21531
RAPE 1ST,21172
ROBBERY 2ND,20401
